Source,BGC,SS_NoSpace,Edatopic,Use
BECv11,IDFxk,IDFxk/112,D6,D6
BECv10,IDFxm,IDFxm/01,C4,C4
BECv10,IDFxm,IDFxm/02,B2,B2
BECv10,IDFxm,IDFxm/08,D6,D6
USA_2019,IDFxm_CO,IDFxm_CO/101,C4,C4
USA_2019,IDFxm_CO,IDFxm_CO/102,B2,B2
USA_2019,IDFxm_CO,IDFxm_CO/113,D6,D6
BECv10,IDFxw,IDFxw/01,C4,C4
BECv10,IDFxw,IDFxw/03,B2,B2
BECv10,IDFxw,IDFxw/07,D6,D6
USA_2019,IDFxx_MT,IDFxx_MT/101,C4,C4
USA_2019,IDFxx_MT,IDFxx_MT/113,D6,D6
USA_2019,IDFxx_MT,IDFxx_MT/Gg,B2,B2
USA_2019,IDFxx_WA,IDFxx_WA/101,C4,C4
USA_2019,IDFxx_WA,IDFxx_WA/103,B2,B2
USA_2019,IDFxx_WA,IDFxx_WA/113,D6,D6
BECv11,IDFxx1,IDFxx1/01,C4,C4
BECv11,IDFxx1,IDFxx1/03,B2,B2
BECv11,IDFxx1,IDFxx1/06,D6,D6
BECv11,IDFxx2,IDFxx2/101,C4,C4
BECv11,IDFxx2,IDFxx2/103,B2,B2
BECv11,IDFxx2,IDFxx2/112,D6,D6
USA_2019,IGFdk_WA,IGFdk_WA/101,C4,C4
USA_2019,IGFdk_WA,IGFdk_WA/103,B2,B2
USA_2019,IGFdk_WA,IGFdk_WA/113,D6,D6
USA_2019,IGFdw_OR,IGFdw_OR/101,C4,C4
USA_2019,IGFdw_OR,IGFdw_OR/103,B2,B2
USA_2019,IGFdw_OR,IGFdw_OR/113,D6,D6
USA_2019,IGFmm_OR,IGFmm_OR/101,C4,C4
USA_2019,IGFmm_OR,IGFmm_OR/103,B2,B2
USA_2019,IGFmm_OR,IGFmm_OR/113,D6,D6
AB_2018,IMAab,IMAab/00,B2,B2
AB_2018,IMAab,IMAab/00,C4,C4
AB_2018,IMAab,IMAab/00,D6,D6
BECv10,IMAun,IMAun/00,B2,B2
BECv10,IMAun,IMAun/00,C4,C4
BECv10,IMAun,IMAun/00,D6,D6
USA_2019,IMAun_CO,IMAun_CO/00,B2,B2
USA_2019,IMAun_CO,IMAun_CO/00,C4,C4
USA_2019,IMAun_CO,IMAun_CO/00,D6,D6
USA_2019,IMAun_MT,IMAun_MT/00,B2,B2
USA_2019,IMAun_MT,IMAun_MT/00,C4,C4
USA_2019,IMAun_MT,IMAun_MT/00,D6,D6
USA_2019,IMAun_WA,IMAun_WA/00,B2,B2
USA_2019,IMAun_WA,IMAun_WA/00,C4,C4
USA_2019,IMAun_WA,IMAun_WA/00,D6,D6
USA_2019,IMAun_WY,IMAun_WY/00,B2,B2
USA_2019,IMAun_WY,IMAun_WY/00,C4,C4
USA_2019,IMAun_WY,IMAun_WY/00,D6,D6
BECv10,IMAunp,IMAunp/00,B2,B2
BECv10,IMAunp,IMAunp/00,C4,C4
BECv10,IMAunp,IMAunp/00,D6,D6
USA_2019,IWFdm_CO,IWFdm_CO/101,C4,C4
USA_2019,IWFdm_CO,IWFdm_CO/102,B2,B2
USA_2019,IWFdm_CO,IWFdm_CO/113,D6,D6
USA_2019,IWFdw_OR,IWFdw_OR/101,C4,C4
USA_2019,IWFdw_OR,IWFdw_OR/103,B2,B2
USA_2019,IWFdw_OR,IWFdw_OR/113,D6,D6
USA_2019,IWFxk_NV,IWFxk_NV/101,C4,C4
USA_2019,IWFxk_NV,IWFxk_NV/103,B2,B2
USA_2019,IWFxk_NV,IWFxk_NV/111,D6,D6
USA_2019,IWFxm_CA,IWFxm_CA/101,C4,C4
USA_2019,IWFxm_CA,IWFxm_CA/103,B2,B2
USA_2019,IWFxm_CA,IWFxm_CA/112,D6,D6
USA_2019,JPWdm_WY,JPWdm_WY/101,C4,C4
USA_2019,JPWdm_WY,JPWdm_WY/113,D6,D6
USA_2019,JPWdm_WY,JPWdm_WY/Gg,B2,B2
USA_2019,JPWdw_UT,JPWdw_UT/101,C4,C4
USA_2019,JPWdw_UT,JPWdw_UT/103,B2,B2
USA_2019,JPWdw_UT,JPWdw_UT/113,D6,D6
USA_2019,JPWmk_WY,JPWmk_WY/101,C4,C4
USA_2019,JPWmk_WY,JPWmk_WY/103,B2,B2
USA_2019,JPWmk_WY,JPWmk_WY/113,D6,D6
USA_2019,JPWwm_CO,JPWwm_CO/101,C4,C4
USA_2019,JPWwm_CO,JPWwm_CO/103,B2,B2
USA_2019,JPWwm_CO,JPWwm_CO/113,D6,D6
USA_2019,JPWxh_CA,JPWxh_CA/101,C4,C4
USA_2019,JPWxh_CA,JPWxh_CA/103,B2,B2
USA_2019,JPWxh_CA,JPWxh_CA/111,D6,D6
USA_2019,JPWxw_NV,JPWxw_NV/101,C4,C4
USA_2019,JPWxw_NV,JPWxw_NV/103,B2,B2
USA_2019,JPWxw_NV,JPWxw_NV/113,D6,D6
USA_2019,MDCHun_NV,MDCHun_NV/110,D6,D6
USA_2019,MDCHun_NV,MDCHun_NV/Gg,B2,B2
USA_2019,MDCHun_NV,MDCHun_NV/Gg,C4,C4
AB_2018,MGPdm,MGPdm/00,B2,B2
AB_2018,MGPdm,MGPdm/00,C4,C4
AB_2018,MGPdm,MGPdm/00,D6,D6
AB_2018,MGPmg,MGPmg/00,B2,B2
AB_2018,MGPmg,MGPmg/00,C4,C4
AB_2018,MGPmg,MGPmg/00,D6,D6
USA_2019,MGPmw_MT,MGPmw_MT/111,D6,D6
USA_2019,MGPmw_MT,MGPmw_MT/Gg,B2,B2
USA_2019,MGPmw_MT,MGPmw_MT/Gg,C4,C4
USA_2019,MHdm_OR,MHdm_OR/101,C4,C4
USA_2019,MHdm_OR,MHdm_OR/103,B2,B2
USA_2019,MHdm_OR,MHdm_OR/113,D6,D6
USA_2019,MHds_OR,MHds_OR/101,C4,C4
USA_2019,MHds_OR,MHds_OR/103,B2,B2
USA_2019,MHds_OR,MHds_OR/113,D6,D6
USA_2019,MHmm_WA,MHmm_WA/101,C4,C4
USA_2019,MHmm_WA,MHmm_WA/102,B2,B2
USA_2019,MHmm_WA,MHmm_WA/113,D6,D6
BECv10,MHmm1,MHmm1/01,B2,B2
BECv10,MHmm1,MHmm1/01,C4,C4
BECv10,MHmm1,MHmm1/07,D6,D6
BECv10,MHmm2,MHmm2/01,B2,B2
BECv10,MHmm2,MHmm2/01,C4,C4
BECv10,MHmm2,MHmm2/07,D6,D6
BECv10,MHmmp,MHmmp/d,B2,B2
BECv10,MHmmp,MHmmp/h,D6,D6
BECv10,MHmmp,MHmmp/m,C4,C4
USA_2019,MHmmp_WA,MHmmp_WA/00,B2,B2
USA_2019,MHmmp_WA,MHmmp_WA/00,C4,C4
USA_2019,MHmmp_WA,MHmmp_WA/00,D6,D6
USA_2019,MHms_WA,MHms_WA/101,C4,C4
USA_2019,MHms_WA,MHms_WA/103,B2,B2
USA_2019,MHms_WA,MHms_WA/113,D6,D6
USA_2019,MHmsp_WA,MHmsp_WA/00,B2,B2
USA_2019,MHmsp_WA,MHmsp_WA/00,C4,C4
USA_2019,MHmsp_WA,MHmsp_WA/00,D6,D6
USA_2019,MHRFdm_OR,MHRFdm_OR/101,C4,C4
USA_2019,MHRFdm_OR,MHRFdm_OR/102,B2,B2
USA_2019,MHRFdm_OR,MHRFdm_OR/110,D6,D6
USA_2019,MHRFds_CA,MHRFds_CA/101,C4,C4
USA_2019,MHRFds_CA,MHRFds_CA/102,B2,B2
USA_2019,MHRFds_CA,MHRFds_CA/110,D6,D6
USA_2019,MHRFdsp_CA,MHRFdsp_CA/00,B2,B2
USA_2019,MHRFdsp_CA,MHRFdsp_CA/00,C4,C4
USA_2019,MHRFdsp_CA,MHRFdsp_CA/00,D6,D6
USA_2019,MHRFmm_OR,MHRFmm_OR/101,C4,C4
USA_2019,MHRFmm_OR,MHRFmm_OR/102,B2,B2
USA_2019,MHRFmm_OR,MHRFmm_OR/110,D6,D6
USA_2019,MHRFmmp_OR,MHRFmmp_OR/00,B2,B2
USA_2019,MHRFmmp_OR,MHRFmmp_OR/00,C4,C4
USA_2019,MHRFmmp_OR,MHRFmmp_OR/00,D6,D6
BECv10,MHun,MHun/d,B2,B2
BECv10,MHun,MHun/h,D6,D6
BECv10,MHun,MHun/m,C4,C4
BECv10,MHunp,MHunp/00,B2,B2
BECv10,MHunp,MHunp/00,C4,C4
BECv10,MHunp,MHunp/00,D6,D6
BECv10,MHwh,MHwh/101,B2,B2
BECv10,MHwh,MHwh/101,C4,C4
BECv10,MHwh,MHwh/111,D6,D6
BECv10,MHwh1,MHwh1/01,B2,B2
BECv10,MHwh1,MHwh1/01,C4,C4
BECv10,MHwh1,MHwh1/07,D6,D6
BECv10,MHwhp,MHwhp/00,B2,B2
BECv10,MHwhp,MHwhp/00,C4,C4
BECv10,MHwhp,MHwhp/00,D6,D6
AB_2018,MSab,MSab/a,B2,B2
AB_2018,MSab,MSab/c,C4,C4
AB_2018,MSab,MSab/f,D6,D6
BECv10,MSdc1,MSdc1/01,C4,C4
BECv10,MSdc1,MSdc1/03,B2,B2
BECv10,MSdc1,MSdc1/04,D6,D6
BECv10,MSdc2,MSdc2/01,C4,C4
BECv10,MSdc2,MSdc2/03,B2,B2
BECv10,MSdc2,MSdc2/08,D6,D6
BECv10,MSdc3,MSdc3/01,C4,C4
BECv10,MSdc3,MSdc3/03,B2,B2
BECv10,MSdc3,MSdc3/04,D6,D6
USA_2019,MSdh_UT,MSdh_UT/101,C4,C4
USA_2019,MSdh_UT,MSdh_UT/103,B2,B2
USA_2019,MSdh_UT,MSdh_UT/111,D6,D6
USA_2019,MSdh_WY,MSdh_WY/101,C4,C4
USA_2019,MSdh_WY,MSdh_WY/103,B2,B2
USA_2019,MSdh_WY,MSdh_WY/113,D6,D6
BECv11,MSdk,MSdk/101,C4,C4
BECv11,MSdk,MSdk/102,B2,B2
BECv11,MSdk,MSdk/111,D6,D6
USA_2019,MSdk_CO,MSdk_CO/101,C4,C4
USA_2019,MSdk_CO,MSdk_CO/103,B2,B2
USA_2019,MSdk_CO,MSdk_CO/113,D6,D6
USA_2019,MSdm_WA,MSdm_WA/101,C4,C4
USA_2019,MSdm_WA,MSdm_WA/103,B2,B2
USA_2019,MSdm_WA,MSdm_WA/113,D6,D6
BECv10,MSdm1,MSdm1/01,C4,C4
BECv10,MSdm1,MSdm1/03,B2,B2
BECv10,MSdm1,MSdm1/06,D6,D6
BECv10,MSdm2,MSdm2/01,C4,C4
BECv10,MSdm2,MSdm2/03,B2,B2
BECv10,MSdm2,MSdm2/06,D6,D6
BECv10,MSdm3,MSdm3/01,C4,C4
BECv10,MSdm3,MSdm3/03,B2,B2
BECv10,MSdm3,MSdm3/06,D6,D6
BECv10,MSdv,MSdv/01,C4,C4
BECv10,MSdv,MSdv/02,B2,B2
BECv10,MSdv,MSdv/09,D6,D6
BECv11,MSdw,MSdw/101,C4,C4
BECv11,MSdw,MSdw/103,B2,B2
BECv11,MSdw,MSdw/111,D6,D6
USA_2019,MSdw_MT,MSdw_MT/101,C4,C4
USA_2019,MSdw_MT,MSdw_MT/103,B2,B2
USA_2019,MSdw_MT,MSdw_MT/113,D6,D6
USA_2019,MSmm_ID,MSmm_ID/101,C4,C4
USA_2019,MSmm_ID,MSmm_ID/103,B2,B2
USA_2019,MSmm_ID,MSmm_ID/113,D6,D6
BECv10,MSmw1,MSmw1/01,C4,C4
BECv10,MSmw1,MSmw1/03,B2,B2
BECv10,MSmw1,MSmw1/06,D6,D6
BECv10,MSmw2,MSmw2/01,C4,C4
BECv10,MSmw2,MSmw2/03,B2,B2
BECv10,MSmw2,MSmw2/06,D6,D6
USA_2019,MSSDun_NV,MSSDun_NV/111,D6,D6
USA_2019,MSSDun_NV,MSSDun_NV/Gg,B2,B2
USA_2019,MSSDun_NV,MSSDun_NV/Gg,C4,C4
USA_2019,MSxh_OR,MSxh_OR/101,C4,C4
USA_2019,MSxh_OR,MSxh_OR/103,B2,B2
USA_2019,MSxh_OR,MSxh_OR/113,D6,D6
USA_2019,MSxk_WA,MSxk_WA/101,C4,C4
USA_2019,MSxk_WA,MSxk_WA/103,B2,B2
USA_2019,MSxk_WA,MSxk_WA/113,D6,D6
BECv10,MSxk1,MSxk1/01,C4,C4
BECv10,MSxk1,MSxk1/02,B2,B2
BECv10,MSxk1,MSxk1/08,D6,D6
BECv10,MSxk2,MSxk2/01,C4,C4
BECv10,MSxk2,MSxk2/02,B2,B2
BECv10,MSxk2,MSxk2/08,D6,D6
BECv10,MSxk3,MSxk3/01,C4,C4
BECv10,MSxk3,MSxk3/02,B2,B2
BECv10,MSxk3,MSxk3/08,D6,D6
USA_2019,MSxm_CO,MSxm_CO/101,C4,C4
USA_2019,MSxm_CO,MSxm_CO/103,B2,B2
USA_2019,MSxm_CO,MSxm_CO/113,D6,D6
BECv10,MSxv,MSxv/01,C4,C4
BECv10,MSxv,MSxv/02,B2,B2
BECv10,MSxv,MSxv/08,D6,D6
USA_2019,MSxx_NV,MSxx_NV/101,C4,C4
USA_2019,MSxx_NV,MSxx_NV/103,B2,B2
USA_2019,MSxx_NV,MSxx_NV/111,D6,D6
USA_2019,OWun_CA,OWun_CA/101,C4,C4
USA_2019,OWun_CA,OWun_CA/103,B2,B2
USA_2019,OWun_CA,OWun_CA/111,D6,D6
USA_2019,PPmx_WY,PPmx_WY/101,C4,C4
USA_2019,PPmx_WY,PPmx_WY/102,B2,B2
USA_2019,PPmx_WY,PPmx_WY/113,D6,D6
USA_2019,PPxh_CO,PPxh_CO/101,C4,C4
USA_2019,PPxh_CO,PPxh_CO/102,B2,B2
USA_2019,PPxh_CO,PPxh_CO/113,D6,D6
USA_2019,PPxh_WA,PPxh_WA/101,C4,C4
USA_2019,PPxh_WA,PPxh_WA/102,B2,B2
USA_2019,PPxh_WA,PPxh_WA/113,D6,D6
BECv10,PPxh1,PPxh1/01,C4,C4
BECv10,PPxh1,PPxh1/03,B2,B2
BECv10,PPxh1,PPxh1/08,D6,D6
BECv10,PPxh2,PPxh2/01,C4,C4
BECv10,PPxh2,PPxh2/03,B2,B2
BECv10,PPxh2,PPxh2/07,D6,D6
BECv10,PPxh3,PPxh3/01,C4,C4
BECv10,PPxh3,PPxh3/03,B2,B2
BECv10,PPxh3,PPxh3/06,D6,D6
USA_2019,PPxk_OR,PPxk_OR/101,C4,C4
USA_2019,PPxk_OR,PPxk_OR/102,B2,B2
USA_2019,PPxk_OR,PPxk_OR/113,D6,D6
USA_2019,PPxm_OR,PPxm_OR/101,C4,C4
USA_2019,PPxm_OR,PPxm_OR/113,D6,D6
USA_2019,PPxm_OR,PPxm_OR/Gg,B2,B2
USA_2019,PPxw_MT,PPxw_MT/101,C4,C4
USA_2019,PPxw_MT,PPxw_MT/102,B2,B2
USA_2019,PPxw_MT,PPxw_MT/113,D6,D6
USA_2019,PPxx_OR,PPxx_OR/101,C4,C4
USA_2019,PPxx_OR,PPxx_OR/102,B2,B2
USA_2019,PPxx_OR,PPxx_OR/113,D6,D6
AB_2018,SASbo,SASbo/a,B2,B2
AB_2018,SASbo,SASbo/c,C4,C4
AB_2018,SASbo,SASbo/d,D6,D6
AB_2018,SBAPcp,SBAPcp/d,B2,B2
AB_2018,SBAPcp,SBAPcp/h,D6,D6
AB_2018,SBAPcp,SBAPcp/m,C4,C4
AB_2018,SBAPfp,SBAPfp/d,B2,B2
AB_2018,SBAPfp,SBAPfp/h,D6,D6
AB_2018,SBAPfp,SBAPfp/m,C4,C4
BECv10,SBPSdc,SBPSdc/01,C4,C4
BECv10,SBPSdc,SBPSdc/02,B2,B2
BECv10,SBPSdc,SBPSdc/06,D6,D6
BECv10,SBPSmc,SBPSmc/01,C4,C4
BECv10,SBPSmc,SBPSmc/02,B2,B2
BECv10,SBPSmc,SBPSmc/05,D6,D6
BECv10,SBPSmk,SBPSmk/01,C4,C4
BECv10,SBPSmk,SBPSmk/03,B2,B2
BECv10,SBPSmk,SBPSmk/07,D6,D6
BECv10,SBPSxc,SBPSxc/01,C4,C4
BECv10,SBPSxc,SBPSxc/02,B2,B2
BECv10,SBPSxc,SBPSxc/06,D6,D6
BECv10,SBSdh1,SBSdh1/01,C4,C4
BECv10,SBSdh1,SBSdh1/02,B2,B2
BECv10,SBSdh1,SBSdh1/07,D6,D6
BECv10,SBSdh2,SBSdh2/01,C4,C4
BECv10,SBSdh2,SBSdh2/02,B2,B2
BECv10,SBSdh2,SBSdh2/07,D6,D6
BECv10,SBSdk,SBSdk/01,C4,C4
BECv10,SBSdk,SBSdk/03,B2,B2
BECv10,SBSdk,SBSdk/07,D6,D6
BECv10,SBSdw1,SBSdw1/01,C4,C4
BECv10,SBSdw1,SBSdw1/03,B2,B2
BECv10,SBSdw1,SBSdw1/09,D6,D6
BECv10,SBSdw2,SBSdw2/01,C4,C4
BECv10,SBSdw2,SBSdw2/03,B2,B2
BECv10,SBSdw2,SBSdw2/09,D6,D6
BECv10,SBSdw3,SBSdw3/01,C4,C4
BECv10,SBSdw3,SBSdw3/02,B2,B2
BECv10,SBSdw3,SBSdw3/08,D6,D6
BECv10,SBSmc1,SBSmc1/01,C4,C4
BECv10,SBSmc1,SBSmc1/02,B2,B2
BECv10,SBSmc1,SBSmc1/08,D6,D6
BECv10,SBSmc2,SBSmc2/01,C4,C4
BECv10,SBSmc2,SBSmc2/02,B2,B2
BECv10,SBSmc2,SBSmc2/09,D6,D6
BECv10,SBSmc3,SBSmc3/01,C4,C4
BECv10,SBSmc3,SBSmc3/03,B2,B2
BECv10,SBSmc3,SBSmc3/08,D6,D6
BECv10,SBSmh,SBSmh/01,C4,C4
BECv10,SBSmh,SBSmh/03,B2,B2
BECv10,SBSmh,SBSmh/07,D6,D6
BECv10,SBSmk1,SBSmk1/01,C4,C4
BECv10,SBSmk1,SBSmk1/04,B2,B2
BECv10,SBSmk1,SBSmk1/08,D6,D6
BECv10,SBSmk2,SBSmk2/01,C4,C4
BECv10,SBSmk2,SBSmk2/02,B2,B2
BECv10,SBSmk2,SBSmk2/06,D6,D6
BECv10,SBSmm,SBSmm/01,C4,C4
BECv10,SBSmm,SBSmm/02,B2,B2
BECv10,SBSmm,SBSmm/08,D6,D6
BECv10,SBSmw,SBSmw/01,C4,C4
BECv10,SBSmw,SBSmw/03,B2,B2
BECv10,SBSmw,SBSmw/08,D6,D6
BECv10,SBSun,SBSun/d,B2,B2
BECv10,SBSun,SBSun/h,D6,D6
BECv10,SBSun,SBSun/m,C4,C4
BECv10,SBSvk,SBSvk/01,C4,C4
BECv10,SBSvk,SBSvk/02,B2,B2
BECv10,SBSvk,SBSvk/07,D6,D6
BECv10,SBSwk1,SBSwk1/01,C4,C4
BECv10,SBSwk1,SBSwk1/03,B2,B2
BECv10,SBSwk1,SBSwk1/09,D6,D6
BECv10,SBSwk2,SBSwk2/01,C4,C4
BECv10,SBSwk2,SBSwk2/02,B2,B2
BECv10,SBSwk2,SBSwk2/06,D6,D6
BECv10,SBSwk3,SBSwk3/01,C4,C4
BECv10,SBSwk3,SBSwk3/02,B2,B2
BECv10,SBSwk3,SBSwk3/08,D6,D6
BECv10,SBSwk3a,SBSwk3a/01,C4,C4
BECv10,SBSwk3a,SBSwk3a/02,B2,B2
BECv10,SBSwk3a,SBSwk3a/07,D6,D6
USA_2019,SGPdm_CO,SGPdm_CO/111,D6,D6
USA_2019,SGPdm_CO,SGPdm_CO/Gg,B2,B2
USA_2019,SGPdm_CO,SGPdm_CO/Gg,C4,C4
BECv10,SWBmk,SWBmk/01,C4,C4
BECv10,SWBmk,SWBmk/02,B2,B2
BECv10,SWBmk,SWBmk/08,D6,D6
BECv10,SWBmks,SWBmks/00,B2,B2
BECv10,SWBmks,SWBmks/00,C4,C4
BECv10,SWBmks,SWBmks/00,D6,D6
BECv10,SWBun,SWBun/d,B2,B2
BECv10,SWBun,SWBun/h,D6,D6
BECv10,SWBun,SWBun/m,C4,C4
BECv10,SWBuns,SWBuns/00,B2,B2
BECv10,SWBuns,SWBuns/00,C4,C4
BECv10,SWBuns,SWBuns/00,D6,D6
BECv10,SWBvk,SWBvk/d,B2,B2
BECv10,SWBvk,SWBvk/h,D6,D6
BECv10,SWBvk,SWBvk/m,C4,C4
BECv10,SWBvks,SWBvks/00,B2,B2
BECv10,SWBvks,SWBvks/00,C4,C4
BECv10,SWBvks,SWBvks/00,D6,D6
USA_2019,WJPxm_OR,WJPxm_OR/101,C4,C4
USA_2019,WJPxm_OR,WJPxm_OR/103,B2,B2
USA_2019,WJPxm_OR,WJPxm_OR/111,D6,D6
